ProjectID,Entity Type,ID,Name,Description,Start Date,Planned Start Date,End Date,Planned End Date,Time Spent,Time Remain,Create Date,Modify Date,Last Comment Date,Effort,Effort Completed,Effort To Do,Role Efforts,Progress,Initial Estimate,Project,Feature,Release,Iteration,Team Iteration,Story,Team,Last Commented User,Tags,Numeric Priority,Owner,Priority,Entity State,Assignments,Build,Severity,Rate
81276,UserStory,82037,Clickable Prototype,https://marvelapp.com/2hfbc7,6/12/2014 5:33:05 AM,,9/8/2014 5:09:16 AM,,0.0000,0.0000,6/12/2014 5:31:34 AM,9/8/2014 5:09:16 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,60646,Igor T-developer,Must Have,Done,(Developer) Igor T-developer,,,0
81276,UserStory,86441,'Upload data' page,,8/19/2014 9:37:38 AM,,8/21/2014 4:30:46 AM,,0.0000,0.0000,8/19/2014 7:07:06 AM,8/21/2014 4:30:46 AM,,1.0000,1.0000,0.0000,"(Developer) 1.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",1.0000,0.0000,vizydrop,Vizydrop Charts Selection,,,,,,,,64213,Anna S-developer,Nice To Have,Done,(Developer) Anna S-developer,,,0
81276,UserStory,86446,Chart selection stub (predefined set of charts for particualr data),,8/21/2014 4:31:10 AM,,8/22/2014 7:47:06 AM,,0.0000,0.0000,8/19/2014 7:19:57 AM,8/22/2014 7:47:06 AM,,1.0000,1.0000,0.0000,"(Developer) 1.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",1.0000,0.0000,vizydrop,Vizydrop Charts Selection,,,,,,,,64214,Anna S-developer,Nice To Have,Done,(Developer) Anna S-developer,,,0
81276,UserStory,86445,Drawing chart by configuration (with current tauCharts),,8/22/2014 7:47:18 AM,,8/25/2014 4:44:23 AM,,0.0000,0.0000,8/19/2014 7:18:34 AM,8/25/2014 4:44:24 AM,,1.0000,1.0000,0.0000,"(Developer) 1.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",1.0000,0.0000,vizydrop,Vizydrop Charts Selection,,,,,,,,64215,Anna S-developer,Nice To Have,Done,(Developer) Anna S-developer,,,0
81276,UserStory,86442,Chart preview generation,"Options and libs to consider:
- https://github.com/tmpvar/jsdom
- phantomjs
- simply render svg into small boxes instead of image
",8/25/2014 4:44:27 AM,,9/5/2014 9:34:42 AM,,0.0000,0.0000,8/19/2014 7:14:18 AM,9/5/2014 9:34:42 AM,8/27/2014 6:45:59 AM,1.0000,1.0000,0.0000,"(Developer) 1.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",1.0000,0.0000,vizydrop,Vizydrop Charts Selection,,,,,,Anna S-developer,,64216,Anna S-developer,Nice To Have,Done,(Developer) Anna S-developer,,,0
81276,UserStory,86443,Chart selection heuristic v.1: Scatterplot,,8/26/2014 9:38:52 AM,,9/5/2014 6:06:39 AM,,0.0000,0.0000,8/19/2014 7:14:54 AM,9/5/2014 6:06:39 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,3.0000,vizydrop,Vizydrop Charts Selection,,,,,,,,64217,Anna S-developer,Nice To Have,Done,(Developer) Anna S-developer,,,0
81276,UserStory,88528,Provide stability and tests for file upload and request,"Readable errors for end-user
Readable reasons of failures to dev log
Server should not be shut down
Unsupported data message
",,,,,0.0000,0.0000,9/17/2014 2:13:36 AM,9/17/2014 2:26:52 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,64218,Oleg Se-developer,Nice To Have,Planned,,,,0
81276,UserStory,88383,UX: Add & Selection Chart for new concept,"Dashboard like concept for adding and selecting chart
Breadcrumbs addapation
",,,,,0.0000,0.0000,9/15/2014 5:39:57 AM,9/15/2014 5:42:31 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,64219,Oleg Se-developer,Nice To Have,Planned,(Developer) Igor T-developer,,,0
81276,Bug,88401,Fix design for file upload,"Current one is not good. -> remove upload button, make whole zone clickable, remove choose file button, make UI attractive
",,,,,0.0000,0.0000,9/15/2014 7:45:47 AM,9/15/2014 7:47:41 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (QA Engineer) 0.0000",0.0000,,vizydrop,,,,,,,,,64220,Oleg Se-developer,Low,Planned,"(Developer) Igor T-developer, (Developer) Aleksey Z-developer",,Laugh if notice,
81276,UserStory,88384,UX: Messages/Warnings/Errors in system,,,,,,0.0000,0.0000,9/15/2014 5:41:25 AM,9/15/2014 5:41:43 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,64221,Oleg Se-developer,Nice To Have,Planned,(Developer) Igor T-developer,,,0
81276,UserStory,87187,Dashboards & Charts Mechanic: change order,,,,,,0.0000,0.0000,8/28/2014 3:55:06 AM,9/10/2014 7:50:05 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,64222,Oleg Se-developer,Nice To Have,Planned,(Developer) Aleksey Z-developer,,,0
81276,UserStory,87093,Python automation,"Installing python itself and all the necessary dependencies should be easy (perfect if one-click) for everybody on Mac and Windows.
Create additional levels of logging to discover issues with start and run
Create functional/unit tests for functionality related to python
Create drop/:id/auto test (smoke)
",,,,,0.0000,0.0000,8/27/2014 6:43:26 AM,9/10/2014 9:20:30 AM,,1.0000,0.0000,1.0000,"(Developer) 1.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,64223,Anna S-developer,Nice To Have,Planned,,,,0
81276,UserStory,88655,Chart selection heuristic v.2: Scatterplor,"- bubble charts support
- better categories selection
",9/18/2014 6:13:14 AM,,,,0.0000,0.0000,9/18/2014 6:02:41 AM,9/18/2014 6:13:15 AM,,3.0000,0.0000,3.0000,"(Developer) 3.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,ALG: Variables based vizy data detection,Luna,,,,,,,64224,Anna S-developer,Nice To Have,In Dev,(Developer) Anna S-developer,,,0
81276,UserStory,87422,Chart selection heuristic v.1: Line,,9/2/2014 4:20:28 AM,,,,0.0000,0.0000,9/2/2014 4:20:28 AM,9/18/2014 6:01:31 AM,9/2/2014 4:20:28 AM,3.0000,0.0000,3.0000,"(Developer) 3.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,3.0000,vizydrop,ALG: Variables based vizy data detection,Luna,,,,,Anna S-developer,,64225,Anna S-developer,Nice To Have,Planned,(Developer) Anna S-developer,,,0
81276,UserStory,88656,Chart selection heuristic v.1: Bar chart,,,,,,0.0000,0.0000,9/18/2014 6:04:26 AM,9/18/2014 6:12:49 AM,,3.0000,0.0000,3.0000,"(Developer) 3.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,ALG: Variables based vizy data detection,Luna,,,,,,,64226,Anna S-developer,Nice To Have,Planned,,,,0
81276,UserStory,87674,Chart selection heuristic v.2,"- improve categories selection
- merge categories' ids and names
- aggregations
",9/4/2014 5:21:37 AM,,,,0.0000,0.0000,9/4/2014 5:21:37 AM,9/18/2014 6:04:48 AM,9/4/2014 5:21:37 AM,3.0000,0.0000,3.0000,"(Developer) 3.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,3.0000,vizydrop,ALG: Variables based vizy data detection,Luna,,,,,Anna S-developer,,64227,Anna S-developer,Nice To Have,Planned,(Developer) Anna S-developer,,,0
81276,UserStory,86444,'Chart selection' page,,9/5/2014 9:34:48 AM,,9/15/2014 6:06:43 AM,,0.0000,0.0000,8/19/2014 7:15:16 AM,9/15/2014 6:06:44 AM,,1.0000,1.0000,0.0000,"(Developer) 1.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",1.0000,0.0000,vizydrop,Vizydrop Charts Selection,,,,,,,,64228,Anna S-developer,Nice To Have,Done,(Developer) Anna S-developer,,,0
81276,UserStory,86511,Anonymous space,,8/20/2014 7:18:38 AM,,8/25/2014 7:47:22 AM,,0.0000,0.0000,8/20/2014 7:17:38 AM,8/25/2014 7:47:22 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,Dashboards: Spaces and Charts,,,,,,,,64270,Oleg Se-developer,Nice To Have,Done,(Developer) Oleg Se-developer,,,0
81276,UserStory,86512,Space and dashboard auto-creation by url,,8/25/2014 7:47:26 AM,,8/28/2014 3:30:21 AM,,0.0000,0.0000,8/20/2014 7:17:56 AM,8/28/2014 3:30:21 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,Dashboards: Spaces and Charts,,,,,,,,64271,Oleg Se-developer,Nice To Have,Done,,,,0
81276,UserStory,86735,Client dependency management improvements,"Bower and require integration will be investigated and improved in this story.
",,,,,0.0000,0.0000,8/22/2014 7:52:46 AM,8/22/2014 7:53:53 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,64272,Anna S-developer,Nice To Have,Planned,(Developer) Anna S-developer,,,0
81276,UserStory,86590,Production deployment optimizations,"- investigate warnings during npm install and bower install
- minimization and uglyfication of *.js files
- changing requirejs configuration to use minified libraries versions
- app health monitoring routines
- css optimization
- create server upload folder if being installed on new machine
- fix bower versions
- introduce some basic document generation
",,,,,0.0000,0.0000,8/21/2014 3:55:26 AM,8/26/2014 5:58:09 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,64327,Anna S-developer,Nice To Have,Planned,(Developer) Anna S-developer,,,0
81276,UserStory,87091,Functional tests minimal set,,,,,,0.0000,0.0000,8/27/2014 6:34:34 AM,8/27/2014 6:34:34 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,64769,Anna S-developer,Nice To Have,Planned,,,,0
81276,UserStory,86736,tauCharts improvements,"provide an option to turn axes off (for small/middle view) [api]
ordinal axes support [scatterplot]
order items by x axis values [scatterplot]
missing 'color' axis support [legend]
missing values support (NaN) [base]
TP datetime recognition and support [base]
Provide an option to use tauCharts with require [base]
Margins configurable or related to chart size [base]
Add possibility to render chart into particular DOM node (reactjs integration) [api]
Provide and options to pass chart configuration in JSON (serialize/deserialize) [api]
Projection plugin acts strange when projects cycle times [projection]
",,,,,0.0000,0.0000,8/22/2014 8:04:12 AM,9/10/2014 4:16:42 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,64809,Anna S-developer,Nice To Have,Planned,(Developer) Anna S-developer,,,0
81276,Bug,87275,Make dashboards names case-insesitive for resolving in urls,,8/29/2014 4:57:11 AM,,8/29/2014 6:03:50 AM,,0.0000,0.0000,8/29/2014 4:57:11 AM,9/1/2014 2:54:05 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (QA Engineer) 0.0000",0.0000,,vizydrop,,,,,,,,,64841,Oleg Se-developer,Low,Closed,,,Laugh if notice,
81276,UserStory,87374,add to tauCharts stacked one,,9/8/2014 3:25:24 AM,,9/8/2014 3:25:24 AM,,0.0000,0.0000,9/1/2014 4:39:55 AM,9/8/2014 5:05:26 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,64868,Oleg Se-developer,Nice To Have,Done,,,,0
81276,Bug,87865,Chart is not re-rendered after navigating from left previews menu,,9/10/2014 3:16:32 AM,,9/10/2014 3:16:32 AM,,0.0000,0.0000,9/8/2014 6:11:20 AM,9/10/2014 3:16:32 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (QA Engineer) 0.0000",0.0000,,vizydrop,,,,,'Chart selection' page,,,,65309,Anna S-developer,Low,Closed,,,Laugh if notice,
81276,Bug,88024,Upload does not work if file extension is not .json,,,,,,0.0000,0.0000,9/10/2014 3:16:57 AM,9/10/2014 3:16:57 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (QA Engineer) 0.0000",0.0000,,vizydrop,,,,,'Chart selection' page,,,,65454,Anna S-developer,Low,Open,,,Laugh if notice,
81276,UserStory,88116,Store uploaded data in db,,,,,,0.0000,0.0000,9/10/2014 9:30:59 AM,9/10/2014 9:30:59 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,65597,Anna S-developer,Nice To Have,Planned,(Developer) Anna S-developer,,,0
81276,UserStory,88308,RESTful API,"Make API RESTful, design nice routes, put node-restful into use
",9/15/2014 4:10:18 AM,,9/17/2014 8:39:48 AM,,0.0000,0.0000,9/12/2014 9:48:37 AM,9/17/2014 8:39:48 AM,,1.0000,1.0000,0.0000,"(Developer) 1.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",1.0000,0.0000,vizydrop,Vizydrop Charts Selection,Luna,,,,,,,65695,Anna S-developer,Nice To Have,Done,(Developer) Anna S-developer,,,0
81276,UserStory,88374,"Upload files via stream, not temp folder",,,,,,0.0000,0.0000,9/15/2014 4:10:49 AM,9/15/2014 4:10:49 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,65728,Anna S-developer,Nice To Have,Planned,(Developer) Anna S-developer,,,0
81276,UserStory,88376,Log issues,- does not log error if upload folder does not exist (400 status now),,,,,0.0000,0.0000,9/15/2014 4:13:02 AM,9/15/2014 4:14:16 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,65732,Anna S-developer,Nice To Have,Planned,,,,0
81276,UserStory,88388,Append URL source,,9/15/2014 6:14:29 AM,,9/17/2014 3:40:26 AM,,0.0000,0.0000,9/15/2014 6:14:29 AM,9/17/2014 3:40:26 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,65743,Oleg Se-developer,Nice To Have,Done,(Developer) Oleg Se-developer,,,0
81276,UserStory,88420,User pseudologin on first visit,"When '/' url is opened user asked for his name and redirected to that space.
",,,,,0.0000,0.0000,9/15/2014 9:41:08 AM,9/15/2014 9:41:59 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,65761,Anna S-developer,Nice To Have,Planned,(Developer) Anna S-developer,,,0
81276,UserStory,88529,User Log Page should be designed and created,,,,,,0.0000,0.0000,9/17/2014 2:18:48 AM,9/17/2014 2:18:48 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,65857,Oleg Se-developer,Nice To Have,Planned,,,,0
81276,UserStory,88537,Nested JSON clever parsing,"Scenarios
JSON Array with simple objects gives one data source
This one [ { a: 1}, { a: 2}, { a: 3} ]
gives us [ { a: 1}, { a: 2}, { a: 3} ]
JSON object with several keys gives several data sources
This one
{
b: [ { i: 1}, { i: 2}, { i: 3} ],
c: [ { r: 1}, { r: 2}, { r: 3} ]
}
gives us
[ { i: 1}, { i: 2}, { i: 3} ] with name ""b"" and [ { r: 1}, { r: 2}, { r: 3} ] with name ""c""
JSON Array object with objects which has nested arrays gives us several data sources
This one
[{
i: 1, a: [{n: 1}, {n: 5} ]
},
{
i: 2, a: [{n: 3}]
}]
gives us
[ { i: 1, ""a count"": 2, ""a sum n"": 6 }, { i: 2, ""a count"": 1, ""a sum n"": 3} with base name ""i""
and
[
{ 'a.n': 1, i: 1 },
{ 'a.n': 5, i: 1 },
{ 'a.n': 3, i: 2 }
]
with base name ""a""
TECH NOTE: Should be a way to ext AGGREGATION methods in easy way for last one scenario",,,,,0.0000,0.0000,9/17/2014 3:41:02 AM,9/17/2014 3:58:10 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,65865,Oleg Se-developer,Nice To Have,Planned,,,,0
81276,UserStory,88542,CSV format parsing,,9/17/2014 3:58:44 AM,,,,0.0000,0.0000,9/17/2014 3:58:44 AM,9/17/2014 3:58:44 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,65869,Oleg Se-developer,Nice To Have,In Dev,(Developer) Oleg Se-developer,,,0
81276,UserStory,88574,REST API tests,Add test for node restful,,,,,0.0000,0.0000,9/17/2014 9:06:36 AM,9/17/2014 9:07:24 AM,,0.0000,0.0000,0.0000,"(Developer) 0.0000, (Feature Owner) 0.0000, (QA Engineer) 0.0000",0.0000,0.0000,vizydrop,,,,,,,,,65886,Anna S-developer,Nice To Have,Planned,,,,0
